"","CASE..","RIDESHARE","DATE","YEAR","MONTH","DAY","OFFENSE","ADDRESS","ZIP","ARREST"
"1","2015-10262  ","HERE",2015-01-01,2015,"Jan",1,"DWI 2ND  ","1400 W 6TH ST  ","78703","Yes"
"2","2015-10287  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","4500 BLOCK S LAMAR BLVD SVRD SB  ","78735","Yes"
"3","2015-10324  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","500 TRINITY ST  ","78701","Yes"
"4","2015-10362  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","2200 BLOCK I-35 N  ","78722","Yes"
"5","2015-10485  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","2600 W SLAUGHTER LN  ","78748","Yes"
"6","2015-10523  ","HERE",2015-01-01,2015,"Jan",1,"DWI .15 BAC OR ABOVE  ","815 E 7TH ST  ","78702","Yes"
"7","2015-10541  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","3000 BLOCK NORTHLAND DR  ","78757","Yes"
"8","2015-10584  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","W ANDERSON LN at BURNET RD  ","78757","Yes"
"9","2015-10587  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","500 SAN JACINTO BLVD  ","78701","Yes"
"10","2015-10603  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","7800 S IH 35 SVRD NB  ","78744","Yes"
"11","2015-10627  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","900 BLOCK S IH 35 SVRD NB  ","78741","Yes"
"12","2015-10642  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","N LAMAR BLVD at W POWELL LN  ","78753","Yes"
"13","2015-10717  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","W ANDERSON LN/BURNET RD  ","N/A  ","Yes"
"14","2015-10742  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","2305 BURLESON RD  ","78741","Yes"
"15","2015-10751  ","HERE",2015-01-01,2015,"Jan",1,"DWI 2ND  ","3300 BLOCK E MARTIN LUTHER KING JR BLVD  ","N/A  ","Yes"
"16","2015-10778  ","HERE",2015-01-01,2015,"Jan",1,"DWI 2ND  ","SPICEWOOD SPRINGS RD at N US 183 HWY SVRD SB  ","78750","Yes"
"17","2015-10835  ","HERE",2015-01-01,2015,"Jan",1,"DWI 2ND  ","S IH 35 SVRD SB at E WILLIAM CANNON DR  ","78745","Yes"
"18","2015-10992  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","1100 BASTROP HWY SB  ","78741","Yes"
"19","2015-10999  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","5901 BURNET RD  ","78757","Yes"
"20","2015-11034  ","HERE",2015-01-01,2015,"Jan",1,"DWI - DRUG RECOGNITION EXPERT  ","1143 AIRPORT BLVD  ","78721","Yes"
"21","2015-11135  ","HERE",2015-01-01,2015,"Jan",1,"DWI .15 BAC OR ABOVE  ","100 E YAGER LN  ","78753","Yes"
"22","2015-11578  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","13200 N US 183 HWY SB  ","78750","Yes"
"23","2015-11830  ","HERE",2015-01-01,2015,"Jan",1,"DWI .15 BAC OR ABOVE  ","7400 S IH 35 SB  ","78745","Yes"
"24","2015-10312  ","HERE",2015-01-01,2015,"Jan",1,"DWI  ","1600 BLOCK S PLEASANT VALLEY RD  ","78741","No"
"25","2015-12021  ","HERE",2015-01-02,2015,"Jan",2,"DWI  ","11900 RESEARCH BLVD SVRD NB  ","78727","Yes"
"26","2015-20020  ","HERE",2015-01-02,2015,"Jan",2,"DWI .15 BAC OR ABOVE  ","CAMERON RD at MC KIE DR  ","78752","Yes"
"27","2015-20047  ","HERE",2015-01-02,2015,"Jan",2,"DWI  ","100 W 6TH ST  ","78701","Yes"
"28","2015-20050  ","HERE",2015-01-02,2015,"Jan",2,"DWI  ","2300 E MARTIN LUTHER KING JR BLVD  ","78722","Yes"
"29","2015-20085  ","HERE",2015-01-02,2015,"Jan",2,"DWI  ","1000 S 1ST ST  ","78704","Yes"
"30","2015-20101  ","HERE",2015-01-02,2015,"Jan",2,"DWI 2ND  ","1516 BURTON DR  ","78741","Yes"
"31","2015-20643  ","HERE",2015-01-02,2015,"Jan",2,"DWI 2ND  ","3100 BLOCK OAK SPRINGS DR  ","78702","Yes"
"32","2015-21533  ","HERE",2015-01-02,2015,"Jan",2,"DWI  ","9400 MIDDLE FISKVILLE RD  ","78753","Yes"
"33","2015-21597  ","HERE",2015-01-02,2015,"Jan",2,"DWI 2ND  ","13400 N US 183 HWY SVRD NB  ","78729","Yes"
"34","2015-21624  ","HERE",2015-01-02,2015,"Jan",2,"DWI  ","2400 GUADALUPE ST  ","78705","Yes"
"35","2015-21624  ","HERE",2015-01-02,2015,"Jan",2,"DWI - DRUG RECOGNITION EXPERT  ","2400 GUADALUPE ST  ","78705","Yes"
"36","2015-5000221  ","HERE",2015-01-02,2015,"Jan",2,"DWI 2ND  ","3100 BLOCK OAK SPRINGS DR  ","78702","No"
"37","2015-30062  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","6105 TECHNI CENTER DR  ","78721","Yes"
"38","2015-30102  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","306 W RUNDBERG LN  ","78753","Yes"
"39","2015-30105  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","10205 N LAMAR BLVD  ","78753","Yes"
"40","2015-30134  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","E 7TH ST at SAN JACINTO BLVD  ","78701","Yes"
"41","2015-30182  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","1600 W 6TH ST  ","78703","Yes"
"42","2015-30211  ","HERE",2015-01-03,2015,"Jan",3,"DWI 2ND  ","10","N/A  ","Yes"
"43","2015-30233  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","9300 S. IH 35 SVC RD  ","N/A  ","Yes"
"44","2015-30280  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","10100 OLD SAN ANTONIO RD  ","78748","Yes"
"45","2015-30363  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","4800 BLOCK PUTTERS CV  ","78744","Yes"
"46","2015-31393  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","5445 W US 290 HWY SVRD EB  ","78749","Yes"
"47","2015-31497  ","HERE",2015-01-03,2015,"Jan",3,"DWI 2ND  ","4600 BLOCK S US 183 HWY NB  ","78719","Yes"
"48","2015-31568  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","900 RUTLAND DR  ","78758","Yes"
"49","2015-31755  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","2700 MLK BLVD  ","N/A  ","Yes"
"50","2015-31760  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","W BRAKER LN at N LAMAR BLVD  ","78758","Yes"
"51","2016-31255  ","HERE",2015-01-03,2015,"Jan",3,"DWI  ","2008 S CONGRESS AVE  ","78704","Yes"
"52","2015-31752  ","HERE",2015-01-04,2015,"Jan",4,"DWI 2ND  ","5111 LOYOLA LN  ","78723","Yes"
"53","2015-40016  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","7601 N LAMAR BLVD SVRD NB  ","78752","Yes"
"54","2015-40028  ","HERE",2015-01-04,2015,"Jan",4,"DWI 2ND  ","8600 W HWY 71  ","N/A  ","Yes"
"55","2015-40074  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","1400 BLOCK N MOPAC EXPY NB  ","78703","Yes"
"56","2015-40075  ","HERE",2015-01-04,2015,"Jan",4,"DWI - DRUG RECOGNITION EXPERT  ","1100 W 6TH ST  ","78703","Yes"
"57","2015-40075  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","1100 W 6TH ST  ","78703","Yes"
"58","2015-40186  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","E ANDERSON LN SVRD WB at NORTHCREST BLVD  ","78753","Yes"
"59","2015-40197  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","2700 N MOPAC EXPY NB  ","78703","Yes"
"60","2015-40232  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","701 WOODWARD ST  ","78704","Yes"
"61","2015-40262  ","HERE",2015-01-04,2015,"Jan",4,"DWI .15 BAC OR ABOVE  ","2020 E RIVERSIDE DR  ","78741","Yes"
"62","2015-40265  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","4400 BLOCK E RIVERSIDE DR  ","78741","Yes"
"63","2015-40269  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","1100 BLOCK AIRPORT BLVD  ","78702","Yes"
"64","2015-40369  ","HERE",2015-01-04,2015,"Jan",4,"DWI - DRUG RECOGNITION EXPERT  ","300 W BEN WHITE BLVD WB  ","78704","Yes"
"65","2015-41174  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","OAK SPRINGS RD at AIRPORT BLVD  ","N/A  ","Yes"
"66","2015-41293  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","100 S 1ST ST  ","78704","Yes"
"67","2015-41387  ","HERE",2015-01-04,2015,"Jan",4,"DWI 2ND  ","3200 E SH 71 EB  ","78617","Yes"
"68","2015-41396  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","2000 BLOCK I-35 N  ","78722","Yes"
"69","2015-41430  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","2500 DURWOOD ST  ","78704","Yes"
"70","2015-41517  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","7900 N MOPAC EXPY NB  ","78731","Yes"
"71","2015-40108  ","HERE",2015-01-04,2015,"Jan",4,"DWI  ","ED BLUESTEIN BLVD NB at E 51ST ST  ","78724","No"
"72","2015-50074  ","HERE",2015-01-05,2015,"Jan",5,"DWI .15 BAC OR ABOVE  ","12900 N US 183 HWY SB  ","78750","Yes"
"73","2015-50087  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","100 S 1ST ST  ","78704","Yes"
"74","2015-50097  ","HERE",2015-01-05,2015,"Jan",5,"DWI 2ND  ","7300 BLOCK S CONGRESS AVE  ","78745","Yes"
"75","2015-50129  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","800 W 6TH ST  ","78701","Yes"
"76","2015-50130  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","9515 N LAMAR BLVD  ","78753","Yes"
"77","2015-50144  ","HERE",2015-01-05,2015,"Jan",5,"DWI .15 BAC OR ABOVE  ","DUVAL RD at N MOPAC EXPY SVRD SB  ","78758","Yes"
"78","2015-50144  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","DUVAL RD at N MOPAC EXPY SVRD SB  ","78758","Yes"
"79","2015-50165  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","7801 I-35 N  ","78753","Yes"
"80","2015-50196  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","9100 RESEARCH BLVD NB  ","78758","Yes"
"81","2015-50202  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","200 W OLTORF ST  ","78704","Yes"
"82","2015-50279  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","800 BLOCK E 5TH ST  ","78702","Yes"
"83","2015-50516  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","3267 BEE CAVES RD  ","78746","Yes"
"84","2015-51052  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","3708 CLARKSON AVE  ","78722","Yes"
"85","2015-51415  ","HERE",2015-01-05,2015,"Jan",5,"DWI 2ND  ","GEORGIAN DR at E ANDERSON LN SVRD WB  ","78753","Yes"
"86","2015-51600  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","2315 LAKE AUSTIN BLVD  ","78703","Yes"
"87","2015-51769  ","HERE",2015-01-05,2015,"Jan",5,"DWI  ","1100 S PLEASANT VALLEY RD  ","78741","Yes"
"88","2016-51811  ","HERE",2015-01-05,2015,"Jan",5,"DWI 2ND  ","100 W 5TH ST  ","78701","Yes"
"89","2015-60001  ","HERE",2015-01-06,2015,"Jan",6,"DWI  ","500 N LAMAR BLVD  ","78703","Yes"
"90","2015-60080  ","HERE",2015-01-06,2015,"Jan",6,"DWI  ","1500 S LAMAR BLVD  ","78704","Yes"
"91","2015-60082  ","HERE",2015-01-06,2015,"Jan",6,"DWI  ","800 E RUNDBERG LN  ","78753","Yes"
"92","2015-60095  ","HERE",2015-01-06,2015,"Jan",6,"DWI  ","3200 S 1ST ST  ","78704","Yes"
"93","2015-60164  ","HERE",2015-01-06,2015,"Jan",6,"DWI  ","900 W 5TH ST  ","78703","Yes"
"94","2015-61530  ","HERE",2015-01-06,2015,"Jan",6,"DWI .15 BAC OR ABOVE  ","900 BLOCK FAIRFIELD DR  ","78758","Yes"
"95","2015-61540  ","HERE",2015-01-06,2015,"Jan",6,"DWI 2ND  ","1919 BURTON DR  ","78741","Yes"
"96","2015-61712  ","HERE",2015-01-06,2015,"Jan",6,"DWI  ","1100 W 6TH ST  ","78703","Yes"
"97","2015-70020  ","HERE",2015-01-07,2015,"Jan",7,"DWI  ","200 S LAMAR BLVD  ","N/A  ","Yes"
"98","2015-70039  ","HERE",2015-01-07,2015,"Jan",7,"DWI  ","4500 DEPEW AVE  ","78751","Yes"
"99","2015-70101  ","HERE",2015-01-07,2015,"Jan",7,"DWI  ","W BEN WHITE BLVD SVRD WB at S 1ST ST  ","78704","Yes"
"100","2015-70130  ","HERE",2015-01-07,2015,"Jan",7,"DWI  ","4200 BLOCK S CONGRESS AVE  ","78745","Yes"
"101","2015-70143  ","HERE",2015-01-07,2015,"Jan",7,"DWI  ","321 W BEN WHITE BLVD SVRD EB  ","78745","Yes"
"102","2015-70146  ","HERE",2015-01-07,2015,"Jan",7,"DWI  ","2300 LAKE AUSTIN BLVD  ","78703","Yes"
"103","2015-70292  ","HERE",2015-01-07,2015,"Jan",7,"DWI .15 BAC OR ABOVE  ","10900 HUMINGTON DR  ","78758","Yes"
"104","2015-71591  ","HERE",2015-01-07,2015,"Jan",7,"DWI - DRUG RECOGNITION EXPERT  ","E 7TH ST at GUNTER ST  ","78702","Yes"
"105","2015-71658  ","HERE",2015-01-07,2015,"Jan",7,"DWI .15 BAC OR ABOVE  ","1601 I-35 N  ","78702","Yes"
"106","2015-71672  ","HERE",2015-01-07,2015,"Jan",7,"DWI  ","2500 N LAMAR BLVD  ","78705","Yes"
"107","2015-71761  ","HERE",2015-01-07,2015,"Jan",7,"DWI  ","900 RESEARCH BLVDSVRD SB  ","N/A  ","Yes"
"108","2015-71787  ","HERE",2015-01-07,2015,"Jan",7,"DWI .15 BAC OR ABOVE  ","13500 S IH 35 NB  ","78747","Yes"
"109","2015-80004  ","HERE",2015-01-08,2015,"Jan",8,"DWI  ","100 BLOCK S 1ST ST  ","78704","Yes"
"110","2015-80098  ","HERE",2015-01-08,2015,"Jan",8,"DWI  ","6902 COLONY PARK DR  ","78724","Yes"
"111","2015-80100  ","HERE",2015-01-08,2015,"Jan",8,"DWI  ","800 W 6TH ST  ","78701","Yes"
"112","2015-80124  ","HERE",2015-01-08,2015,"Jan",8,"DWI .15 BAC OR ABOVE  ","1600 E 7TH ST  ","78702","Yes"
"113","2015-80132  ","HERE",2015-01-08,2015,"Jan",8,"DWI  ","700 BLOCK I-35 N  ","78702","Yes"
"114","2015-80144  ","HERE",2015-01-08,2015,"Jan",8,"DWI 2ND  ","1100 AIRPORT BLVD  ","78702","Yes"
"115","2015-80152  ","HERE",2015-01-08,2015,"Jan",8,"DWI .15 BAC OR ABOVE  ","5100 TURNSTONE DR  ","78744","Yes"
"116","2015-80157  ","HERE",2015-01-08,2015,"Jan",8,"DWI  ","KOENIG EB TO N IH 35 SB RAMP at I-35 N AT E 290 TR  ","78751","Yes"
"117","2015-80175  ","HERE",2015-01-08,2015,"Jan",8,"DWI .15 BAC OR ABOVE  ","6800 BLOCK S IH 35 NB  ","78744","Yes"
"118","2015-81359  ","HERE",2015-01-08,2015,"Jan",8,"DWI 2ND  ","N MOPAC EXPY SVRD SB at W BRAKER LN  ","78759","Yes"
"119","2015-81373  ","HERE",2015-01-08,2015,"Jan",8,"DWI  ","6300 S IH 35 SVRD SB  ","78745","Yes"
"120","2015-81786  ","HERE",2015-01-08,2015,"Jan",8,"DWI  ","1700 N MOPAC EXPY NB  ","78703","Yes"
"121","2015-100146  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","8400 BLOCK DULCET DR  ","78745","Yes"
"122","2015-90079  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","1300 S IH 35 SB  ","78704","Yes"
"123","2015-90081  ","HERE",2015-01-09,2015,"Jan",9,"DWI - DRUG RECOGNITION EXPERT  ","6810 COLONY PARK DR  ","78724","Yes"
"124","2015-90106  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","1400 HARTFORD RD  ","78703","Yes"
"125","2015-90128  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","100 LAVACA ST  ","78701","Yes"
"126","2015-90131  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","500 BLOCK E 6TH ST  ","78701","Yes"
"127","2015-90141  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","1500 W 29TH ST  ","78703","Yes"
"128","2015-90150  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","E CESAR CHAVEZ ST at RED RIVER ST  ","78701","Yes"
"129","2015-90160  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","5000 E CESAR CHAVEZ ST  ","78702","Yes"
"130","2015-90177  ","HERE",2015-01-09,2015,"Jan",9,"DWI 2ND  ","9600 S IH 35 SVRD SB  ","78748","Yes"
"131","2015-90181  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","4500 BLOCK GUADALUPE ST  ","78751","Yes"
"132","2015-90203  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","4700 W GUADALUPE ST  ","78751","Yes"
"133","2015-90242  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","12041 DESSAU RD  ","78754","Yes"
"134","2015-90262  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","303 E OLTORF ST  ","78704","Yes"
"135","2015-90433  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","6700 W US 290 HWY  ","78735","Yes"
"136","2015-90433  ","HERE",2015-01-09,2015,"Jan",9,"DWI - DRUG RECOGNITION EXPERT  ","6700 W US 290 HWY  ","78735","Yes"
"137","2015-91079  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","8400 S CONGRESS AVE  ","78748","Yes"
"138","2015-91638  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","9000 BLOCK ANDERSON MILL RD  ","78729","Yes"
"139","2015-91650  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","8200 SAM RAYBURN DR  ","78753","Yes"
