CASE..,RIDESHARE,DATE,YEAR,MONTH,DAY,OFFENSE,ADDRESS,ZIP,ARREST
2015-10262  ,HERE,2015-01-01  ,2015,1,1,DWI 2ND  ,1400 W 6TH ST  ,78703,Yes
2015-10287  ,HERE,2015-01-01  ,2015,1,1,DWI  ,4500 BLOCK S LAMAR BLVD SVRD SB  ,78735,Yes
2015-10324  ,HERE,2015-01-01  ,2015,1,1,DWI  ,500 TRINITY ST  ,78701,Yes
2015-10362  ,HERE,2015-01-01  ,2015,1,1,DWI  ,2200 BLOCK I-35 N  ,78722,Yes
2015-10485  ,HERE,2015-01-01  ,2015,1,1,DWI  ,2600 W SLAUGHTER LN  ,78748,Yes
2015-10523  ,HERE,2015-01-01  ,2015,1,1,DWI .15 BAC OR ABOVE  ,815 E 7TH ST  ,78702,Yes
2015-10541  ,HERE,2015-01-01  ,2015,1,1,DWI  ,3000 BLOCK NORTHLAND DR  ,78757,Yes
2015-10584  ,HERE,2015-01-01  ,2015,1,1,DWI  ,W ANDERSON LN at BURNET RD  ,78757,Yes
2015-10587  ,HERE,2015-01-01  ,2015,1,1,DWI  ,500 SAN JACINTO BLVD  ,78701,Yes
2015-10603  ,HERE,2015-01-01  ,2015,1,1,DWI  ,7800 S IH 35 SVRD NB  ,78744,Yes
2015-10627  ,HERE,2015-01-01  ,2015,1,1,DWI  ,900 BLOCK S IH 35 SVRD NB  ,78741,Yes
2015-10642  ,HERE,2015-01-01  ,2015,1,1,DWI  ,N LAMAR BLVD at W POWELL LN  ,78753,Yes
2015-10717  ,HERE,2015-01-01  ,2015,1,1,DWI  ,W ANDERSON LN/BURNET RD  ,N/A  ,Yes
2015-10742  ,HERE,2015-01-01  ,2015,1,1,DWI  ,2305 BURLESON RD  ,78741,Yes
2015-10751  ,HERE,2015-01-01  ,2015,1,1,DWI 2ND  ,3300 BLOCK E MARTIN LUTHER KING JR BLVD  ,N/A  ,Yes
