Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,
The Last Command,1927-1928,1st Academy Awards,5/16/1929,Best Actor,X,Emil Jannings,7/23/1884,44,
The Way of All Flesh,1927-1928,1st Academy Awards,5/16/1929,Best Actor,X,Emil Jannings,7/23/1884,44,
The Noose,1927-1928,1st Academy Awards,5/16/1929,Best Actor,,Richard Barthelmess,5/9/1895,34,
The Patent Leather Kid,1927-1928,1st Academy Awards,5/16/1929,Best Actor,,Richard Barthelmess,5/9/1895,34,
7th Heaven,1927-1928,1st Academy Awards,5/16/1929,Best Actress,,Janet Gaynor,10/6/1906,22,
Street Angel,1927-1928,1st Academy Awards,5/16/1929,Best Actress,X,Janet Gaynor,10/6/1906,22,
Sunrise,1927-1928,1st Academy Awards,5/16/1929,Best Actress,X,Janet Gaynor,10/6/1906,22,
A Ship Comes In,1927-1928,1st Academy Awards,5/16/1929,Best Actress,,Louise Dresser,10/5/1878,50,
Sadie Thompson,1927-1928,1st Academy Awards,5/16/1929,Best Actress,,Gloria Swanson,3/27/1899,30,
In Old Arizona,1928-1929,2nd Academy Awards,4/3/1930,Best Actor,X,Warner Baxter,3/29/1889,41,
The Patriot,1928-1929,2nd Academy Awards,4/3/1930,Best Actor,,Lewis Stone,11/15/1879,50,
The Valiant,1928-1929,2nd Academy Awards,4/3/1930,Best Actor,,Paul Muni,9/22/1895,34,
Alibi,1928-1929,2nd Academy Awards,4/3/1930,Best Actor,,Chester Morris,2/16/1901,29,
Thunderbolt,1928-1929,2nd Academy Awards,4/3/1930,Best Actor,,George Bancroft,9/30/1882,47,
Coquette,1928-1929,2nd Academy Awards,4/3/1930,Best Actress,X,Mary Pickford,4/8/1892,38,
The Letter,1928-1929,2nd Academy Awards,4/3/1930,Best Actress,,Jeanne Eagels,6/26/1890,39,
Madame X,1928-1929,2nd Academy Awards,4/3/1930,Best Actress,,Ruth Chatterton,12/24/1892,37,
The Divine Lady,1928-1929,2nd Academy Awards,4/3/1930,Best Actress,,Corinne Griffith,11/21/1894,35,
The Barker,1928-1929,2nd Academy Awards,4/3/1930,Best Actress,,Betty Compson,3/19/1897,33,
The Broadway Melody,1928-1929,2nd Academy Awards,4/3/1930,Best Actress,,Bessie Love,9/10/1898,31,
Disraeli,1929-1930,3rd Academy Awards,11/5/1930,Best Actor,X,George Arliss,4/10/1868,62,
The Green Goddess,1929-1930,3rd Academy Awards,11/5/1930,Best Actor,,George Arliss,4/10/1868,62,
The Big House,1929-1930,3rd Academy Awards,11/5/1930,Best Actor,,Wallace Beery,4/1/1885,45,
The Big Pond,1929-1930,3rd Academy Awards,11/5/1930,Best Actor,,Maurice Chevalier,9/12/1888,42,
The Love Parade,1929-1930,3rd Academy Awards,11/5/1930,Best Actor,,Maurice Chevalier,9/12/1888,42,
Bulldog Drummond,1929-1930,3rd Academy Awards,11/5/1930,Best Actor,,Ronald Colman,2/9/1891,39,
Condemned,1929-1930,3rd Academy Awards,11/5/1930,Best Actor,,Ronald Colman,2/9/1891,39,
The Rogue Song,1929-1930,3rd Academy Awards,11/5/1930,Best Actor,,Lawrence Tibbett,11/16/1896,33,
The Divorcee,1929-1930,3rd Academy Awards,11/5/1930,Best Actress,X,Norma Shearer,8/10/1902,28,
Sarah and Son,1929-1930,3rd Academy Awards,11/5/1930,Best Actress,,Ruth Chatterton,12/24/1892,37,
The Trespasser,1929-1930,3rd Academy Awards,11/5/1930,Best Actress,,Gloria Swanson,3/27/1899,31,
Their Own Desire,1929-1930,3rd Academy Awards,11/5/1930,Best Actress,,Norma Shearer,8/10/1902,28,
The Devil's Holiday,1929-1930,3rd Academy Awards,11/5/1930,Best Actress,,Nancy Carroll,11/19/1903,26,
Anna Christie,1929-1930,3rd Academy Awards,11/5/1930,Best Actress,,Greta Garbo,9/18/1905,25,
Romance,1929-1930,3rd Academy Awards,11/5/1930,Best Actress,,Greta Garbo,9/18/1905,25,
A Free Soul,1930-1931,4th Academy Awards,11/10/1931,Best Actor,X,Lionel Barrymore,4/28/1878,53,
The Front Page,1930-1931,4th Academy Awards,11/10/1931,Best Actor,,Adolphe Menjou,2/18/1890,41,
Cimarron,1930-1931,4th Academy Awards,11/10/1931,Best Actor,,Richard Dix,7/18/1893,38,
The Royal Family of Broadway,1930-1931,4th Academy Awards,11/10/1931,Best Actor,,Fredric March,8/31/1897,34,
Skippy,1930-1931,4th Academy Awards,11/10/1931,Best Actor,,Jackie Cooper,9/15/1922,9,
Min and Bill,1930-1931,4th Academy Awards,11/10/1931,Best Actress,X,Marie Dressler,11/9/1868,63,
Cimarron,1930-1931,4th Academy Awards,11/10/1931,Best Actress,,Irene Dunne,12/20/1898,32,
Morocco,1930-1931,4th Academy Awards,11/10/1931,Best Actress,,Marlene Dietrich,12/27/1901,29,
Holiday,1930-1931,4th Academy Awards,11/10/1931,Best Actress,,Ann Harding,8/7/1902,29,
A Free Soul,1930-1931,4th Academy Awards,11/10/1931,Best Actress,,Norma Shearer,8/10/1902,29,
The Champ,1931-1932,5th Academy Awards,11/18/1932,Best Actor,X,Wallace Beery,4/1/1885,47,
