city,inventory_mean.2000,inventory_mean.2001,inventory_mean.2002,inventory_mean.2003,inventory_mean.2004,inventory_mean.2005,inventory_mean.2006,inventory_mean.2007,inventory_mean.2008,inventory_mean.2009,inventory_mean.2010,inventory_mean.2011,inventory_mean.2012,inventory_mean.2013,inventory_mean.2014,inventory_mean.2015,inventory_sd.2000,inventory_sd.2001,inventory_sd.2002,inventory_sd.2003,inventory_sd.2004,inventory_sd.2005,inventory_sd.2006,inventory_sd.2007,inventory_sd.2008,inventory_sd.2009,inventory_sd.2010,inventory_sd.2011,inventory_sd.2012,inventory_sd.2013,inventory_sd.2014,inventory_sd.2015,listings_mean.2000,listings_mean.2001,listings_mean.2002,listings_mean.2003,listings_mean.2004,listings_mean.2005,listings_mean.2006,listings_mean.2007,listings_mean.2008,listings_mean.2009,listings_mean.2010,listings_mean.2011,listings_mean.2012,listings_mean.2013,listings_mean.2014,listings_mean.2015,listings_sd.2000,listings_sd.2001,listings_sd.2002,listings_sd.2003,listings_sd.2004,listings_sd.2005,listings_sd.2006,listings_sd.2007,listings_sd.2008,listings_sd.2009,listings_sd.2010,listings_sd.2011,listings_sd.2012,listings_sd.2013,listings_sd.2014,listings_sd.2015,median_mean.2000,median_mean.2001,median_mean.2002,median_mean.2003,median_mean.2004,median_mean.2005,median_mean.2006,median_mean.2007,median_mean.2008,median_mean.2009,median_mean.2010,median_mean.2011,median_mean.2012,median_mean.2013,median_mean.2014,median_mean.2015,median_sd.2000,median_sd.2001,median_sd.2002,median_sd.2003,median_sd.2004,median_sd.2005,median_sd.2006,median_sd.2007,median_sd.2008,median_sd.2009,median_sd.2010,median_sd.2011,median_sd.2012,median_sd.2013,median_sd.2014,median_sd.2015,month_mean.2000,month_mean.2001,month_mean.2002,month_mean.2003,month_mean.2004,month_mean.2005,month_mean.2006,month_mean.2007,month_mean.2008,month_mean.2009,month_mean.2010,month_mean.2011,month_mean.2012,month_mean.2013,month_mean.2014,month_mean.2015,month_sd.2000,month_sd.2001,month_sd.2002,month_sd.2003,month_sd.2004,month_sd.2005,month_sd.2006,month_sd.2007,month_sd.2008,month_sd.2009,month_sd.2010,month_sd.2011,month_sd.2012,month_sd.2013,month_sd.2014,month_sd.2015,sales_mean.2000,sales_mean.2001,sales_mean.2002,sales_mean.2003,sales_mean.2004,sales_mean.2005,sales_mean.2006,sales_mean.2007,sales_mean.2008,sales_mean.2009,sales_mean.2010,sales_mean.2011,sales_mean.2012,sales_mean.2013,sales_mean.2014,sales_mean.2015,sales_sd.2000,sales_sd.2001,sales_sd.2002,sales_sd.2003,sales_sd.2004,sales_sd.2005,sales_sd.2006,sales_sd.2007,sales_sd.2008,sales_sd.2009,sales_sd.2010,sales_sd.2011,sales_sd.2012,sales_sd.2013,sales_sd.2014,sales_sd.2015,volume_mean.2000,volume_mean.2001,volume_mean.2002,volume_mean.2003,volume_mean.2004,volume_mean.2005,volume_mean.2006,volume_mean.2007,volume_mean.2008,volume_mean.2009,volume_mean.2010,volume_mean.2011,volume_mean.2012,volume_mean.2013,volume_mean.2014,volume_mean.2015,volume_sd.2000,volume_sd.2001,volume_sd.2002,volume_sd.2003,volume_sd.2004,volume_sd.2005,volume_sd.2006,volume_sd.2007,volume_sd.2008,volume_sd.2009,volume_sd.2010,volume_sd.2011,volume_sd.2012,volume_sd.2013,volume_sd.2014,volume_sd.2015
Abilene,6.466666667,6.625,5.841666667,5.683333333,4.558333333,3.825,4.481818182,4.958333333,6.316666667,6.125,6.433333333,5.95,6.116666667,5.45,5.416666667,4.628571429,0.333938844,0.709833527,0.531649805,0.460895045,0.328794861,0.407040315,0.592989345,0.323217724,0.593653302,0.572276157,0.177525073,0.654356033,1.14243228,0.167874412,0.399621033,0.340168026,750.9166667,769.6666667,715.75,726.1666667,677.6666667,612,733.7272727,863.6666667,924,811.5,879.25,800,969.5833333,958.75,963.8333333,878.5714286,40.28863664,74.34359217,52.40424167,45.0228898,39.68817853,57.98118817,95.48203067,67.95230056,63.51807187,71.51922818,38.09825813,59.1976658,196.0451981,20.34754843,62.38273848,84.24143308,66600,70975,68600,71933.33333,74866.66667,87591.66667,100291.6667,103650,107133.3333,108366.6667,112000,114491.6667,114350,118133.3333,128458.3333,137414.2857,5714.415583,6331.325439,6756.141987,5598.10574,7892.267025,10138.53659,5186.776602,10931.39765,10211.52053,9849.811566,12495.38096,7996.301228,10499.13416,13067.81844,8849.597662,8048.691109,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,114.5833333,119.25,126.3333333,136,152.5,164.75,166.4166667,166.9166667,137.5833333,136.1666667,132.5,143.25,168,180.9166667,180.3333333,205,26.46252353,22.23480073,23.5500756,31.18566104,26.89204005,34.23481747,31.67579613,48.31987796,32.12605381,29.37789315,35.6102641,41.12757314,34.42514937,39.97830851,34.77547028,45.12944346,9047916.667,9530416.667,9889583.333,11306250,13305833.33,16571250,18960833.33,19338548.75,16043361.25,16863146.33,16454745.33,18347152.42,22129741.17,24190025.33,25915450.92,31731367.71,2569447.64,2138483.382,2249757.015,2789557.74,3195404.252,4270572.202,4014520.142,6130233.468,3714435.637,4461773.791,4760837.435,5064372.242,5433975.054,6186487.897,6113544.742,9255992.293
Amarillo,6.075,5.966666667,6.05,6.45,4.8,4.345454545,4.95,4.963636364,5.475,6.491666667,6.4,6.633333333,5.641666667,5.016666667,4.85,4.142857143,0.65937298,0.201509455,0.519615242,0.519615242,0.22563043,0.254415551,0.403457281,0.436515125,0.33608711,0.591543948,0.428952212,0.817238513,0.405548637,0.332574895,0.3,0.276026224,1089.166667,1094.416667,1173,1325.833333,1203.333333,1141,1316.6,1424,1459.916667,1477.333333,1461.636364,1415.25,1322.083333,1270.583333,1235,1120.142857,108.8191438,43.22974215,78.68464099,85.25771981,46.21950264,73.07940886,117.7843604,117.9686399,63.89118353,94.4162287,110.1909912,136.0909622,82.6223152,95.30473453,79.17988725,79.89665945,85933.33333,90675,91100,94350,96941.66667,106025,114216.6667,117816.6667,124000,123283.3333,125116.6667,126658.3333,132800,137008.3333,141750,147957.1429,6378.562581,3594.72467,6286.059613,8120.288844,5130.914916,8992.736968,6999.328972,7426.712638,4738.239028,4002.915604,7331.480482,6003.704664,7578.438314,9967.169593,5515.020811,6594.911458,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,173,195.25,187.4166667,235.6666667,254.75,259.4166667,287.0833333,275,250.75,233.0833333,213,225.4166667,244.4166667,254.75,258.5,294,37.40199314,36.3571301,22.86902762,43.81642144,42.8042585,74.36330759,59.42368419,52.91846215,57.72682534,42.71780198,64.59665063,67.46643385,50.05898036,44.81908076,48.45522769,68.54925237,17172083.33,20917500,20249583.33,25668750,29292916.67,32798333.33,38162916.67,37922916.67,36051666.67,33036862.67,30755346.5,32098876,38241215.83,40932410.58,43451817.33,51018637,4221454.649,4238702.364,3138227.973,6125641.386,5715065.202,10698082.31,9013656.674,8742547.855,8818017.024,6604221.99,9714430.854,7646399.668,9410797.703,8049242.449,8693901.49,12595037.11
Arlington,3.458333333,3.641666667,4.15,5.816666667,6.175,5.909090909,5.641666667,5.733333333,5.575,5.291666667,5.633333333,5.766666667,3.691666667,2.366666667,1.791666667,1.414285714,0.137895437,0.178164037,0.437970526,0.507817672,0.325087401,0.490824909,0.227469612,0.234843597,0.330633002,0.372847357,0.526279106,0.792388029,0.450168319,0.257022579,0.23915888,0.167616342,1388,1567.083333,1823.916667,2529.75,2774.5,2870.545455,3026.333333,3029.916667,2438.333333,1922.833333,1997.416667,1747.666667,1229.583333,925.9166667,764.75,608.7142857,40.63138062,86.50324044,167.2931332,219.6853639,137.4485028,180.2322744,161.8676976,184.0595054,242.8498726,166.120347,188.7896657,201.8560843,111.9906314,81.35830777,89.24850393,80.25109404,102841.6667,111600,114958.3333,120158.3333,120441.6667,128433.3333,130308.3333,130283.3333,129541.6667,128758.3333,129716.6667,124266.6667,130191.6667,142266.6667,156550,170142.8571,5306.33555,3464.626439,3175.032808,3442.63597,3136.720445,5337.744388,3045.252142,2904.176721,3372.740546,4031.795975,3606.769729,5020.382697,8178.403749,8494.846923,7046.146594,8848.513461,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,414.0833333,444.8333333,433.5833333,442.0833333,461.9166667,512.5833333,548.5833333,490.1666667,401.1666667,355.75,323.5833333,309.9166667,354,422.0833333,437.5833333,437.4285714,82.80915445,79.82575722,61.05505464,64.94117385,80.98087129,100.3389332,116.7152388,92.99348299,80.17575391,68.384109,77.53997014,72.05485074,71.72675423,77.18155495,87.66512558,125.8740867,49900960,57183529.25,56259525.17,59732586.83,63479569.58,74795954,80738482.33,72955010.75,59170193,51298264.17,47754575.17,45472624.42,53450306.83,69170310.92,78420324.67,85960039.43,10645241.42,10532936.42,8856524.057,9559469.975,12178364.66,16649787.63,17956615.38,13701120.81,13353908.51,10966456.28,12350565.36,11094122.82,13268906.24,16117042.16,17945622.57,30328897.39
Austin,2.375,4.666666667,5.65,6.6,5.891666667,4.341666667,3.608333333,3.975,5.541666667,6.391666667,6.566666667,5.85,3.983333333,2.575,2.483333333,2.528571429,0.280016233,0.910877033,0.688212441,0.53597829,0.57280543,0.492596706,0.210878394,0.534492112,0.548482756,0.575970854,0.582054876,0.90201794,0.611753565,0.259807621,0.321455025,0.314718317,3657.666667,7163.583333,8830.916667,10340,10393.91667,8964.75,8695.25,9832.916667,11584.83333,10803.08333,11579.08333,9734,7685.5,6103.5,6307.833333,6586.714286,451.7455707,1320.087219,1096.97903,638.5477842,735.0004896,668.4894947,483.7396229,1202.178361,879.2367386,736.0172254,1381.005395,1169.616021,892.4954291,543.7600574,837.4945138,900.2582434,143925,149991.6667,154191.6667,154058.3333,153250,160891.6667,171766.6667,183650,187233.3333,185358.3333,189658.3333,190033.3333,201741.6667,220508.3333,238791.6667,259000,6583.329498,4987.15775,3094.998409,4768.353696,4750.598048,6295.807889,4333.449882,5527.863306,5917.052911,6459.588832,10457.57301,4816.512003,10714.59992,9819.318467,9580.421165,13597.05851,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,1551.75,1532.666667,1559.666667,1649.416667,1880.583333,2242.083333,2523.666667,2337.333333,1870,1728.916667,1656,1767.333333,2126.75,2536.333333,2579.416667,2696.857143,297.8126699,264.493799,224.7642536,325.5770983,419.6921942,437.8599731,503.1562803,549.649034,445.0591381,401.9971638,428.5033149,393.3784514,500.836051,590.8115118,525.6039744,665.737543,296753326.6,296378843.4,307995615.1,324918209.9,373955377.3,471744576.3,580143800.6,575913540,455876514.3,410353364.4,408870425.8,444720167.6,565780982.1,726572499.8,787968798.5,884108176.7,64452976.58,57635647.16,45497589.12,70239557.94,90234692.5,103425089,124858246.1,145105739.3,120088109,101112639.7,107281826.9,110751388.3,153600813.6,190415816.2,186611444.3,243635659.2
Bay Area,4.508333333,4.754545455,5.125,5.891666667,5.475,5.308333333,6.633333333,7.091666667,7,7.308333333,9.741666667,9.791666667,6.875,4.925,3.733333333,3,0.116450015,0.269679945,0.42666785,0.281096338,0.256284643,0.167648622,0.544949261,0.38720052,0.56246212,0.843648282,0.857542295,0.993120274,0.797866473,0.388762606,0.36762959,0.163299316,1842.333333,1951.909091,2181.416667,2553.833333,2616.5,2775.5,3753.416667,4224.5,3818.666667,3254.833333,4245.416667,4032.333333,3189.833333,2722.333333,2326.166667,1991,38.35322277,93.90682035,183.0784523,121.2561776,79.70684926,121.4918628,384.4193871,243.3020943,471.2724233,244.9273857,359.8778728,320.7682067,215.9990881,116.0629401,180.7282407,112.3090973,113233.3333,120483.3333,130941.6667,132091.6667,132733.3333,138283.3333,144766.6667,153200,155525,151291.6667,155000,153741.6667,157166.6667,165908.3333,177433.3333,190300,6034.496791,6365.222746,5973.343564,6068.167064,4472.000434,6946.658233,7084.212067,4966.066671,10929.204,7925.271241,6059.702963,6146.315723,7016.387744,9645.861886,8614.821618,10018.81563,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,407,421.6666667,424.3333333,450.4166667,502.8333333,533.3333333,592.4166667,584.5833333,490.6666667,448.8333333,409.5,429.3333333,504.4166667,596.5833333,655.6666667,652.8571429,88.29290098,85.93161481,78.21105866,80.89888002,110.2079302,121.3936746,112.0490626,108.6256778,147.1087003,80.92514311,96.28792051,71.93473473,103.599279,129.9919287,134.4222204,154.5977884,53235744.67,58839560.67,63058744,69008488.5,78472823.67,90506465,104472052.9,109690709.8,94306210.67,80408713.67,76750689,79495640.33,94675843.33,121398869.8,139800567.8,147993635.7,13018013.6,13484284.16,13393633.32,15107969.11,18940616.28,23707470.16,23308846.45,23465487.57,34888489.93,18614430.1,18645206.26,14797429.63,20661660.43,32459839.44,32770169.25,40353698.27
Beaumont,6.508333333,6.791666667,6.45,6.958333333,6.775,6.966666667,5.241666667,5.683333333,7.25,8.433333333,10.90833333,11.73333333,10.78333333,8.783333333,7.641666667,6.842857143,0.370401093,0.320392751,0.206705764,0.35791907,0.359608373,0.915853634,0.81291656,0.513160144,0.481475006,0.711379369,0.698645876,0.690629928,0.85369074,0.495127777,0.362963392,0.287849167,946.1666667,1010.583333,1010.083333,1129.833333,1200.5,1228.083333,960.1666667,1163.916667,1375.25,1432,1731.083333,1747.916667,1691.333333,1639.583333,1586.666667,1551.571429,55.78829029,53.27025152,13.04160011,46.90964881,79.30321557,181.81432,179.22045,141.2943146,88.06931671,95.84457115,101.9076751,74.67439422,54.55661502,54.91887957,57.37331235,22.56735949,85383.33333,87433.33333,89783.33333,95675,100033.3333,105500,116250,124875,129625,132008.3333,133116.6667,125641.6667,126533.3333,132400,132250,134128.5714,5234.992981,4637.854781,6824.932012,9268.924131,6040.068232,8651.957214,8656.63172,7432.866204,6606.487858,6896.963539,13353.57176,9603.16788,7973.28874,7784.83374,9835.418372,7922.060819,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,148.4166667,149.8333333,160.5833333,171.9166667,176.5833333,171.5833333,195.4166667,207.5833333,175.5833333,165.75,156.1666667,144,171.9166667,201.1666667,213.6666667,255.4285714,23.98279055,32.81583136,33.97982913,28.67199563,32.57566949,43.92236608,22.56488959,39.98512981,43.37669742,25.29148258,36.92457505,22.65552311,28.38840459,37.73070448,36.48993219,57.26213741,15417083.33,16046250,17467083.33,20122916.67,21505833.33,21367916.67,26277500,30421250,25932083.33,24482558.42,22653775.33,21095134.08,24467600,30309116,32132014.83,39655044.43,2651470.825,4079513.187,4045223.029,4643407.574,4408232.398,5435111.213,3690090.846,6778944.382,6775289.145,4511138.261,4954230.63,4300602.324,4921812.7,6437051.587,7049511.503,10459021.04
Brazoria County,5.066666667,5.333333333,5.55,NA,NA,7.14,6.6,5.95,6.763636364,8.441666667,9.458333333,9.8,7.383333333,4.925,4.036363636,2.583333333,0.377391365,0.393700394,0.202259959,NA,NA,0.230217289,NA,0.353553391,0.510436533,0.865981664,0.575970854,0.554321863,1.159806671,0.376889181,0.576667542,0.116904519,449.25,462.2222222,474.5,NA,643.5,682.4,718,704.5,682.0909091,672.5,738.1666667,750.25,615.1666667,481.5833333,390.8181818,283.3333333,29.08959514,28.20362467,18.2532687,NA,10.60660172,17.02351315,NA,43.13351365,32.24113691,22.24042184,51.74383289,44.81299527,54.16277375,33.14282682,46.82695416,9.584710046,83308.33333,88209.09091,92766.66667,NA,99925,108541.6667,113666.6667,122166.6667,125916.6667,126291.6667,121958.3333,122783.3333,125808.3333,134300,146450,154716.6667,6197.720744,6885.1223,7720.731634,NA,9239.551839,8389.111811,7069.69632,8278.37636,6232.587867,9085.198585,8442.04395,8958.067297,10111.51084,10357.34259,14631.75252,10427.54365,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,88.33333333,86.72727273,86.16666667,NA,92.91666667,106.8333333,118.75,113.9166667,93.08333333,74.83333333,76.83333333,75.5,93.58333333,97.91666667,106.5,107.6666667,20.79044069,18.69273072,19.35709094,NA,22.34627621,23.58671943,18.17153118,22.38692124,28.73850231,19.42740957,19.79363228,14.82320049,20.20107258,23.43446698,25.3932704,26.8824602,9187916.667,9147727.273,9637500,NA,10946250,13287083.33,15781666.67,15965416.67,13197500,10176619.75,10370284.17,10560822.33,13152837.08,15031817.75,17518273.75,18563243.5,2745490.897,2342909.904,2272061.039,NA,2809588.392,3245700.974,2882902.841,3184533.26,4640708.459,2896036.633,2811196.745,2446174.042,3309741.888,4608496.957,4910859.104,5857623.44
Brownsville,9.016666667,8.791666667,9.65,9.1,NA,NA,NA,NA,NA,NA,11.8,13.2,13.675,12.95,11.80833333,10.63333333,0.875768061,1.138945552,0.353553391,0.282842712,NA,NA,NA,NA,NA,NA,NA,0.628128533,0.418058282,0.446196043,0.938527215,0.121106014,397.0833333,383.3333333,425,510,NA,NA,NA,NA,NA,NA,740,775.0833333,792.1666667,824.6666667,778.4166667,728.6666667,34.11866547,49.63747363,18.38477631,18.38477631,NA,NA,NA,NA,NA,NA,NA,24.1640542,27.18232492,18.88882947,39.90775348,11.32548748,73581.81818,78991.66667,84333.33333,86758.33333,90266.66667,104558.3333,106033.3333,113858.3333,93725,91550,97108.33333,94391.66667,98208.33333,101333.3333,109275,107250,9466.025373,7937.420961,7063.006485,6821.417919,10180.22444,15832.67383,11854.52222,21671.36604,8752.571051,10138.80933,12025.53785,11417.72612,12093.23314,10126.41311,10611.92511,13862.71979,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,44.18181818,42.58333333,55.41666667,55.91666667,65.33333333,76.5,98.08333333,90.33333333,75.66666667,61.83333333,62.83333333,58.41666667,59.58333333,64.5,69,67.16666667,12.07326121,9.848473193,10.50937532,12.97871217,13.93708808,11.54831747,18.61308598,17.75250729,14.46835628,17.34061619,14.99595905,12.98571476,17.28613913,12.7600228,12.46814122,16.43674745,3972727.273,4234766.667,5550416.667,6030416.667,7503750,10289583.33,13346666.67,13646666.67,9605000,6798102.25,7443807.75,6771317.5,7229891.667,8247161.667,9048607.583,8936582.333,1344229.08,1054392.422,1190180.388,1429008.649,2038893.556,2477517.506,3226538.628,4664716.855,2242772.229,1803611.19,2050109.664,2030096.365,2550320.087,1978823.36,2553710.447,2610710.429
Bryan-College Station,4.875,6.05,5.958333333,7.033333333,6.858333333,6.358333333,6.208333333,5.741666667,5.733333333,6.475,8.666666667,9.8,8.941666667,6.5,4.383333333,3.514285714,0.34145411,0.576036615,0.34234043,0.655512753,0.529937103,0.523030215,0.569622416,0.420947704,0.644322524,0.441330633,0.818350151,1.122497216,1.298571476,1.440328245,0.567023061,0.157359158,559.9166667,709.75,767.9166667,992.3333333,1157,1165.25,1235.916667,1228.416667,1201.916667,1212.166667,1562.416667,1606.166667,1609.5,1406.083333,1106.5,940.2857143,35.64077933,61.57054343,36.4503606,100.6906453,59.89688108,80.67119008,69.54979685,91.3598861,130.8666624,54.87313191,165.1574777,156.0896207,152.9845506,228.3551693,127.4444621,30.41224691,102816.6667,117050,117183.3333,123591.6667,123241.6667,130208.3333,134925,137991.6667,142691.6667,149575,153533.3333,151416.6667,153566.6667,159391.6667,169533.3333,182957.1429,11733.6992,4872.277795,6023.413912,2562.476903,5069.419607,6238.656372,4450.153215,4859.378623,6986.149718,4837.753987,5474.12647,3709.406552,7095.752037,5429.123206,7776.460206,6579.73078,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,113,121.5,133.4166667,156.3333333,176.4166667,185.0833333,215,209.5,205.9166667,182,167.5833333,167.4166667,196.75,237.8333333,260.25,312.1428571,46.25816881,56.14186576,57.51752039,62.49412094,67.41925586,74.55011534,82.11189705,83.30284291,95.73396693,77.77473299,70.75368071,62.19245545,74.28217087,95.84725854,86.6918524,97.07459086,13402083.33,15880833.33,17396666.67,21269166.67,24578750,26785833.33,32852083.33,33711666.67,34346250,30621326.08,28731200.08,28930941.08,35358972.67,45124173.75,52812901,66643325.29,5472223.853,7467328.789,7202206.838,8617393.044,10162195.34,10992857.77,12861574.1,13757936.28,16567513.96,12876320.87,10817894.15,10313079.17,13490418.4,19540847.29,17970698.8,20254386.29
Collin County,4.075,4.5,5.558333333,6.391666667,5.741666667,5.1,4.85,5.841666667,5.775,5.258333333,5.416666667,4.975,3.233333333,1.941666667,1.658333333,1.571428571,0.160255478,0.204494943,0.645907865,0.543487615,0.416606056,0.64498062,0.317661913,0.501739399,0.43719145,0.640253264,0.509604719,0.774743359,0.531436019,0.235326981,0.192865159,0.269037084,3156.166667,3978.833333,5035.166667,5956.833333,5952.5,5913.272727,6371.166667,7400.333333,6450.25,5014.916667,5154.166667,4423.666667,3270.333333,2422.666667,2210,2109.857143,140.1588925,268.3104827,520.6907708,355.0515541,367.9640546,506.1584912,483.4944455,648.4653679,685.9590665,611.8228291,508.8283928,582.544783,420.2731435,243.7410449,235.5508052,373.0350424,163691.6667,171500,176358.3333,175633.3333,178083.3333,183083.3333,192041.6667,199841.6667,202516.6667,198933.3333,207466.6667,207708.3333,215300,239191.6667,261633.3333,289400,5811.033132,3341.202832,2978.85223,3724.448302,4831.30574,6485.765299,6365.169188,8046.620785,6599.701554,7657.834174,11680.31237,7494.781012,7430.037318,9683.487194,10656.6525,11980.53978,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,833.3333333,909.9166667,901.1666667,984.0833333,1080,1267.333333,1316.25,1198.25,1029.166667,966.75,891.9166667,930.3333333,1113.666667,1346.416667,1340.333333,1369.285714,172.7264434,199.2150315,126.9042827,199.515075,226.4271908,282.7531314,295.039019,273.9877652,251.0493734,211.4409976,236.0641124,212.8833797,244.9888062,348.6536334,322.9934796,410.261589,166247951.4,186754686.6,192677555.6,211277102.3,237394117.1,289919536,314771403.3,297289997.8,257833737.2,230528124.2,219725120.3,231818724.4,284933515.3,376860863.8,407527502.5,455259396,33863506.34,44144948.51,31381149.77,45002833.57,53722456.71,69613243.57,73909734.21,75719218.19,68277870.12,53663560.58,56373618.98,56863163.92,68185385.8,106430102.1,107518553,146873925.7
