oldcode,state,povrate60,mort_age59_related_postHS,mort_age59_injury_postHS,mort_age59_all_postHS,mort_age25plus_related_postHS,mort_age25plus_injuries_postHS,mort_age59_related_preHS,mort_wh_age59_related_postHS,mort_bl_age59_related_postHS,census1960_pop,census1960_pctsch1417,census1960_pctsch534,census1960_pctsch25plus,census1960_pop1417,census1960_pop534,census1960_pop25plus,census1960_pcturban,census1960_pctblack,census1990_pop,census1990_pop1824,census1990_pop2534,census1990_pop3554,census1990_pop55plus,census1990_pcturban,census1990_pctblack,census1990_percapinc
1001,1,52.95928,0,31.59558,44.23381,83.30093,97.73977,14.31844,0,0,18674,84.6,.532445,26.2,1558,9231,9229,35.3,42.1,34222,.0963415,.1624101,.2594238,.1877447,.5802115598,.1999298697,11182
1002,1,41.67101,0,11.64873,23.29746,97.0559,103.6685,11.5002,0,0,50263,87.9,.5760906,30.2,3917,23932,24550,26.4,21,98280,.0834554,.1483415,.2547517,.2544465,0,.1279405779,12275
1003,1,65.64565,4.108463,20.54232,36.97617,138.9055,138.2409,16.65556,0,7.889546,25058,88.2,.6253658,20.2,2187,11961,12207,33.8,52,25417,.0895857,.1469095,.2374002,.2334658,0,.4412401149,9515
1004,1,56.27055,0,26.69336,46.71338,118.4464,139.9821,10.1626,0,0,14923,84,.5528736,16.5,1269,6960,7194,0,30.8,16576,.101472,.1537162,.2439069,.2095801,0,.2106660232,8973
1005,1,45.62446,0,12.74413,28.67429,97.97237,101.5843,0,0,0,25414,82.7,.5190638,19.2,2108,12091,13548,16.3,3.3,39248,.0993426,.1514982,.2662556,.2253618,0,.0148797391,10168
1006,1,71.88475,9.044044,63.30831,90.44044,167.0094,115.9788,0,0,11.87225,13636,83.3,.6377352,21.6,1201,6429,6328,27.5,71.9,11042,.080873,.1535048,.2246876,.231027,0,.7218800942,6922
1007,1,63.27154,4.964997,14.89499,54.61496,166.631,158.5207,11.46263,0,9.960159,24637,88.3,.5803685,20.5,2239,11777,12237,26.1,44.7,21892,.0829527,.1364425,.2233693,.256395,0,.4020646812,7903
1008,1,34.06308,3.057761,14.26955,29.55836,112.0951,98.59676,9.532888,2.60532,4.806306,96246,87.1,.5207049,31.1,6789,49481,48062,55.5,18.7,116034,.1253339,.1602375,.2480825,.2160229,.5787700157,.1865832428,10704
1009,1,42.77838,2.755504,24.79954,46.84357,153.4128,129.0616,8.373106,5.010773,0,38929,81,.5550046,23.2,2935,17344,20340,42.1,36.7,36876,.0986007,.1427758,.2356004,.263803,0,.359258054,10000
1010,1,47.20592,12.55887,43.95604,81.63265,76.58115,118.2013,29.29115,14.22071,0,16886,81.9,.4985529,20.6,1253,7947,8461,0,10.3,19543,.1005987,.1415341,.2659776,.2553344,0,.0653430896,9915
