School,Teacher,Condition,Trt,Pre,Y
4,2,Waitlist,0,3.5,4.718215081
4,3,Treatment,1,5,4.718215081
4,4,Treatment,1,4,4.718215081
4,6,Waitlist,0,3.25,4.218215081
4,7,Waitlist,0,4.25,4.468215081
4,8,Treatment,1,5,4.718215081
4,10,Waitlist,0,4,3.218215081
4,11,Waitlist,0,4.5,3.468215081
4,12,Treatment,1,5,4.718215081
4,15,Waitlist,0,4.25,4.718215081
12,22,Waitlist,0,3.75,4.634872699
12,23,Waitlist,0,3,4.634872699
12,25,Treatment,1,4,5.634872699
12,30,Treatment,1,3.5,4.634872699
5,35,Waitlist,0,4.25,4.236273207
5,36,Treatment,1,4,3.736273207
5,38,Waitlist,0,5,4.986273207
5,39,Treatment,1,4.25,4.236273207
5,41,Waitlist,0,4.25,4.236273207
5,42,Treatment,1,4.5,4.736273207
5,43,Waitlist,0,4,4.236273207
5,45,Treatment,1,4.5,3.986273207
6,47,Waitlist,0,3.25,3.095783923
6,49,Treatment,1,4.5,3.845783923
6,51,Treatment,1,4.75,4.345783923
6,54,Waitlist,0,4.25,4.345783923
6,56,Treatment,1,3.75,3.345783923
6,57,Waitlist,0,5,4.345783923
6,59,Waitlist,0,3.5,3.595783923
8,61,Waitlist,0,4,5.155957589
8,67,Waitlist,0,4.5,6.155957589
8,69,Treatment,1,4,4.405957589
10,74,Waitlist,0,4.5,4.320477794
10,75,Treatment,1,5,4.570477794
10,79,Treatment,1,3.5,4.570477794
10,80,Waitlist,0,5,4.820477794
10,81,Treatment,1,4.5,3.570477794
10,83,Treatment,1,4,4.320477794
10,85,Waitlist,0,5,4.820477794
10,91,Waitlist,0,5,4.320477794
10,94,Treatment,1,3.5,3.570477794
10,95,Treatment,1,4.5,4.320477794
10,96,Waitlist,0,3.5,4.070477794
9,100,Waitlist,0,4.25,4.100354335
9,101,Waitlist,0,4.75,4.100354335
9,102,Treatment,1,4,3.350354335
9,104,Waitlist,0,4,3.100354335
9,106,Treatment,1,3.75,3.850354335
9,107,Treatment,1,4.5,3.850354335
9,114,Waitlist,0,3.75,3.350354335
6,158,Treatment,1,3.75,3.345783923
10,159,Waitlist,0,4.5,4.570477794
9,163,Treatment,1,5,4.350354335
